speaker,date,vid.title,vid.url,vid.youtubeid,vid.id,id
Romney,2012-09-08,"Mitt Romney Campaign Rally in  Virginia Beach, Virginia - September 8 2012",http://electad.com/video/mitt-romney-campaign-rally-in-virginia-beach-virginia-september-8-2012/,wscQ9FhhBgk,ID_88,Romney_20120908_speech1
Romney,2012-09-10,"Mitt Romney Campaign Rally in Mansfield, Ohio - September 10 2012",http://electad.com/video/mitt-romney-campaign-rally-in-mansfield-ohio-september-10-2012/,j2B8oFC8dTs,ID_84,Romney_20120910_speech1
Romney,2012-09-11,"Mitt Romney Addresses National Guard Association Convention, Reno, Nevada - September 11 2012",http://electad.com/video/mitt-romney-addresses-national-guard-association-convention-reno-nevada-september-11-2012/,Lf42DK4wADw,ID_82,Romney_20120911_speech1
Romney,2012-09-12,"Mitt Romney Remarks and Q&A on Libya and Egypt Embassy Attacks, Jacksonville, Florida - September 12 2012",http://electad.com/video/mitt-romney-remarks-and-qa-on-libya-and-egypt-embassy-attacks-jacksonville-florida-september-12-2012/,gFSNLjL0IT0,ID_80,Romney_20120912_speech1
Romney,2012-09-13,"Mitt Romney Campaign Rally in Fairfax, Virginia - September 13 2012",http://electad.com/video/mitt-romney-campaign-rally-in-fairfax-virginia-september-13-2012/,nG5Fa5qtZUQ,ID_78,Romney_20120913_speech1
Romney,2012-09-14,"Mitt Romney Campaign Rally in Painesville, Ohio - September 14 2012",http://electad.com/video/mitt-romney-campaign-rally-in-painesville-ohio-september-14-2012/,_e4xPNTW698,ID_76,Romney_20120914_speech1
Romney,2012-09-17,"Mitt Romney Addresses Hispanic Chamber of Commerce National Convention in Los Angeles, California - September 17 2012",http://electad.com/video/mitt-romney-addresses-hispanic-chamber-of-commerce-national-convention-in-los-angeles-california-september-17-2012/,tpIJUzIk9jA,ID_72,Romney_20120917_speech1
Romney,2012-09-19,"Mitt Romney 'Juntos Con Romney' Campaign Rally in Miami, Florida - September 19 2012",http://electad.com/video/mitt-romney-juntos-con-romney-campaign-rally-in-miami-florida-september-19-2012/,5zg0M__X6M0,ID_71,Romney_20120919_speech1
Romney,2012-09-20,"Mitt Romney Campaign Rally in Sarasota, Florida - September 20 2012",http://electad.com/video/mitt-romney-campaign-rally-in-sarasota-florida-september-20-2012/,cLBlvHBYl30,ID_70,Romney_20120920_speech1
Romney,2012-09-21,"Mitt Romney Campaign Rally in Las Vegas, Nevada - September 21 2012",http://electad.com/video/mitt-romney-campaign-rally-in-las-vegas-nevada-september-21-2012/,tNHZWx8YzA8,ID_68,Romney_20120921_speech1
Romney,2012-09-23,"Mitt Romney Campaign Rally in Denver, Colorado - September 23 2012",http://electad.com/video/mitt-romney-campaign-rally-in-denver-colorado-september-22-2012/,73HkoqqVvXU,ID_66,Romney_20120923_speech1
Romney,2012-09-25,"Mitt Romney & Paul Ryan Campaign Rally, Vandalia, Ohio - September 25 2012",http://electad.com/video/mitt-romney-paul-ryan-campaign-rally-vandalia-ohio-september-25-2012/,rkWv2HZi8pk,ID_63,Romney_20120925_speech1
Romney,2012-09-26,"Mitt Romney Campaign Rally in Westerville, Ohio - September 26 2012",http://electad.com/video/mitt-romney-campaign-rally-in-westerville-ohio-september-26-2012/,5JV-teMdRBA,ID_62,Romney_20120926_speech1
Romney,2012-09-27,"Mitt Romney Campaign Event at American Legion in Springfield, Virginia - September 27 2012",http://electad.com/video/mitt-romney-campaign-event-at-american-legion-in-springfield-virginia-september-27-2012/,gufesjXBats,ID_59,Romney_20120927_speech1
Romney,2012-09-28,"Mitt Romney Campaign Event at Valley Forge Military Academy in Wayne, Pennsylvania - September 28 2012",http://electad.com/video/mitt-romney-campaign-event-at-valley-forge-military-academy-in-wayne-pennsylvania-september-28-2012/,ylvy69dF4N4,ID_58,Romney_20120928_speech1
Romney,2012-10-04,Mitt Romney At CPAC Colorado - October 4 2012,http://electad.com/video/mitt-romney-at-cpac-colorado-october-4-201-september-25-2012/,OSWZuzaQDsU,ID_56,Romney_20121004_speech1
Romney,2012-10-05,"Mitt Romney Campaign Rally in Abingdon, Virginia - October 5 2012",http://electad.com/video/mitt-romney-campaign-rally-in-abingdon-virginia-october-5-2012/,FHEYb_Q6mOM,ID_51,Romney_20121005_speech1
Romney,2012-10-06,"Mitt Romney Campaign Rally in Apopka, Florida - October 6 2012",http://electad.com/video/mitt-romney-campaign-rally-in-apopka-florida-october-6-2012/,oyRy9bA1260,ID_49,Romney_20121006_speech1
Romney,2012-10-09,"Mitt Romney Campaign Rally in Cuyahoga Falls, Ohio - October 9 2012",http://electad.com/video/mitt-romney-campaign-rally-in-cuyahoga-falls-ohio-october-9-2012/,ZDIyXHv-hoc,ID_45,Romney_20121009_speech1
Romney,2012-10-09,"Mitt Romney Campaign Rally in Van Meter, Iowa - October 9 2012",http://electad.com/video/mitt-romney-campaign-rally-in-van-meter-iowa-october-9-2012/,c7-g-g-BXio,ID_47,Romney_20121009_speech2
Romney,2012-10-10,"Mitt Romney Campaign Rally in Delaware, Ohio - October 10 2012",http://electad.com/video/mitt-romney-campaign-rally-in-delaware-ohio-october-10-2012/,HwLyjxjaL58,ID_43,Romney_20121010_speech1
Romney,2012-10-10,"Mitt Romney Campaign Rally in Sidney, Ohio - October 10 2012",http://electad.com/video/mitt-romney-campaign-rally-in-sidney-ohio-october-10-2012/,rTVhSQWF5tQ,ID_42,Romney_20121010_speech2
Romney,2012-10-10,"Mitt Romney Town Hall With Chris Christie in Mount Vernon, Ohio - October 10 2012",http://electad.com/video/mitt-romney-town-hall-with-chris-christie-in-mount-vernon-ohio-october-10-2012/,MVUHdEEuspM,ID_44,Romney_20121010_speech3
